城市,AQI,PM2.5,PM10,O3,NO2,SO2,CO,空气质量等级,空气质量描述,爬取时间
西宁,157,157,66,15.5,16.0,16.3,21.7,中度污染,中度污染,2026-01-02 16:59:51
银川,95,95,50,0.0,11.9,9.7,5.5,良,空气质量良好,2026-01-02 17:00:30
乌鲁木齐,158,158,78,9.8,9.6,3.6,10.0,中度污染,中度污染,2026-01-02 17:00:56
克拉玛依,109,109,66,21.2,12.4,2.6,10.0,轻度污染,轻度污染,2026-01-02 17:01:05
吐鲁番,181,181,107,4.9,10.1,3.6,12.7,中度污染,中度污染,2026-01-02 17:01:10
哈密,97,97,52,5.3,5.5,7.6,3.7,良,空气质量良好,2026-01-02 17:01:16
昌吉回族自治州,112,112,69,2.9,13.8,3.6,7.3,轻度污染,轻度污染,2026-01-02 17:01:20
阿克苏地区,109,109,59,17.5,6.9,2.1,3.7,轻度污染,轻度污染,2026-01-02 17:01:35
喀什地区,149,149,60,11.4,6.9,0.6,7.3,轻度污染,轻度污染,2026-01-02 17:01:49
和田地区,119,119,116,46.8,6.9,3.6,8.2,轻度污染,轻度污染,2026-01-02 17:01:53
伊犁哈萨克自治州,117,117,50,17.1,8.3,4.1,7.3,轻度污染,轻度污染,2026-01-02 17:02:01
阿勒泰地区,50,50,23,17.5,20.2,5.6,3.7,优,空气质量优,2026-01-02 17:02:11
石河子,154,154,60,4.5,10.1,3.6,7.3,中度污染,中度污染,2026-01-02 17:02:20
